clx_x,clx_y,clx_z,tgt_x,tgt_y,tgt_z
-0.0292966137,0.0538208580,0.1967986572,-0.0054168439,0.0488539314,0.1872636261
-0.0292966137,0.0538208580,0.1967986572,0.0019357415,0.0523377533,0.1904419708
-0.0292966137,0.0538208580,0.1967986572,-0.0057135172,0.0558462372,0.1969475861
-0.0292966137,0.0538208580,0.1967986572,-0.0036920207,0.0544575958,0.1950429230
-0.0292966137,0.0538208580,0.1967986572,-0.0002578566,0.0531236992,0.1861062775
-0.0292966137,0.0538208580,0.1967986572,-0.0044255924,0.0536028099,0.2002202911
-0.0292966137,0.0538208580,0.1967986572,-0.0071675625,0.0486835327,0.1910359650
-0.0292966137,0.0538208580,0.1967986572,-0.0058173652,0.0527915878,0.1844601593
-0.0292966137,0.0538208580,0.1967986572,-0.0075373259,0.0516972198,0.1883719025
-0.0292966137,0.0538208580,0.1967986572,-0.0039077892,0.0540427818,0.1996026154
-0.0292966137,0.0538208580,0.1967986572,0.0014333775,0.0491035385,0.1890802765
-0.0292966137,0.0538208580,0.1967986572,-0.0044713936,0.0556796188,0.1993041534
-0.0292966137,0.0538208580,0.1967986572,-0.0010965329,0.0540711365,0.1908952179
-0.0292966137,0.0538208580,0.1967986572,-0.0063259339,0.0575065689,0.1987729034
-0.0292966137,0.0538208580,0.1967986572,-0.0074784179,0.0512273445,0.1869618683
