clx_x,clx_y,clx_z,tgt_x,tgt_y,tgt_z
-0.0292966137,0.0538208580,0.1967986572,-0.0073590708,0.0490538750,0.1912095490
-0.0292966137,0.0538208580,0.1967986572,-0.0068898482,0.0484139519,0.1905995636
-0.0292966137,0.0538208580,0.1967986572,-0.0065521073,0.0481677704,0.1908012238
-0.0292966137,0.0538208580,0.1967986572,-0.0061417150,0.0479793510,0.1913410187
-0.0292966137,0.0538208580,0.1967986572,-0.0051082344,0.0477723618,0.1903653107
-0.0292966137,0.0538208580,0.1967986572,-0.0026100283,0.0475610847,0.1896255646
-0.0292966137,0.0538208580,0.1967986572,-0.0018616370,0.0471294861,0.1913310089
-0.0292966137,0.0538208580,0.1967986572,-0.0012859931,0.0469962234,0.1912161407
-0.0292966137,0.0538208580,0.1967986572,0.0009677780,0.0481004105,0.1913404083
-0.0292966137,0.0538208580,0.1967986572,0.0017146546,0.0495368500,0.1895014191
-0.0292966137,0.0538208580,0.1967986572,0.0011138555,0.0499215508,0.1884179230
-0.0292966137,0.0538208580,0.1967986572,0.0013221197,0.0509172096,0.1885008087
-0.0292966137,0.0538208580,0.1967986572,0.0018240707,0.0517029762,0.1888905792
-0.0292966137,0.0538208580,0.1967986572,0.0020191505,0.0515678024,0.1901419220
-0.0292966137,0.0538208580,0.1967986572,0.0022350051,0.0539431496,0.1901240997
-0.0292966137,0.0538208580,0.1967986572,0.0016781653,0.0542297630,0.1903211212
-0.0292966137,0.0538208580,0.1967986572,0.0010002912,0.0546149406,0.1901190948
-0.0292966137,0.0538208580,0.1967986572,0.0007703745,0.0544224930,0.1902108917
-0.0292966137,0.0538208580,0.1967986572,0.0003226582,0.0547475662,0.1895879669
-0.0292966137,0.0538208580,0.1967986572,-0.0016329508,0.0548672829,0.1892017365
-0.0292966137,0.0538208580,0.1967986572,-0.0042408314,0.0556731453,0.1886884308
-0.0292966137,0.0538208580,0.1967986572,-0.0055575514,0.0552328644,0.1867136993
-0.0292966137,0.0538208580,0.1967986572,-0.0064320025,0.0562317581,0.1883690948
-0.0292966137,0.0538208580,0.1967986572,-0.0075013785,0.0551961594,0.1889413605
-0.0292966137,0.0538208580,0.1967986572,-0.0075610781,0.0540823860,0.1902106476
-0.0292966137,0.0538208580,0.1967986572,-0.0075169210,0.0523035698,0.1904856720
-0.0292966137,0.0538208580,0.1967986572,-0.0075356822,0.0511395111,0.1919716339
-0.0292966137,0.0538208580,0.1967986572,-0.0075305014,0.0517413750,0.1937882843
-0.0292966137,0.0538208580,0.1967986572,-0.0071121831,0.0525671349,0.1948022003
-0.0292966137,0.0538208580,0.1967986572,-0.0074021864,0.0551643524,0.1940500031
-0.0292966137,0.0538208580,0.1967986572,-0.0074394674,0.0555684357,0.1918700714
-0.0292966137,0.0538208580,0.1967986572,-0.0065696635,0.0565621490,0.1911822052
-0.0292966137,0.0538208580,0.1967986572,-0.0070016394,0.0563169060,0.1894198761
-0.0292966137,0.0538208580,0.1967986572,-0.0066121426,0.0564698753,0.1894440460
-0.0292966137,0.0538208580,0.1967986572,-0.0061024804,0.0565471840,0.1896354523
-0.0292966137,0.0538208580,0.1967986572,-0.0056370358,0.0565777016,0.1904485626
-0.0292966137,0.0538208580,0.1967986572,-0.0051567974,0.0564785690,0.1915680695
-0.0292966137,0.0538208580,0.1967986572,-0.0047167149,0.0563059769,0.1917597198
-0.0292966137,0.0538208580,0.1967986572,-0.0043292747,0.0560574379,0.1922444611
-0.0292966137,0.0538208580,0.1967986572,-0.0021135936,0.0536597404,0.1930836945
-0.0292966137,0.0538208580,0.1967986572,-0.0019669050,0.0521152802,0.1934001007
-0.0292966137,0.0538208580,0.1967986572,-0.0021082320,0.0514002724,0.1936125031
-0.0292966137,0.0538208580,0.1967986572,-0.0025980401,0.0512165604,0.1943266144
-0.0292966137,0.0538208580,0.1967986572,-0.0042676215,0.0525942612,0.1968518829
-0.0292966137,0.0538208580,0.1967986572,-0.0036170025,0.0519046669,0.1983612823
