clx_x,clx_y,clx_z,tgt_x,tgt_y,tgt_z
0.0292966137,-0.0538208580,0.1967986572,-0.0015664871,0.0480005836,0.1885902863
0.0292966137,-0.0538208580,0.1967986572,-0.0065141463,0.0545686760,0.1858659210
0.0292966137,-0.0538208580,0.1967986572,-0.0010095267,0.0542691879,0.1904313507
0.0292966137,-0.0538208580,0.1967986572,-0.0057699809,0.0565875549,0.1975789337
0.0292966137,-0.0538208580,0.1967986572,-0.0069003901,0.0561355019,0.1973859406
0.0292966137,-0.0538208580,0.1967986572,-0.0030462124,0.0538642349,0.1946850128
0.0292966137,-0.0538208580,0.1967986572,-0.0069126196,0.0500680008,0.1865674591
0.0292966137,-0.0538208580,0.1967986572,-0.0037854040,0.0548909760,0.1948610382
0.0292966137,-0.0538208580,0.1967986572,0.0003137080,0.0513993416,0.1872603302
0.0292966137,-0.0538208580,0.1967986572,-0.0030359457,0.0527144508,0.1949250031
0.0292966137,-0.0538208580,0.1967986572,-0.0061144428,0.0538847160,0.1849934845
0.0292966137,-0.0538208580,0.1967986572,-0.0018366367,0.0522567635,0.1931592560
0.0292966137,-0.0538208580,0.1967986572,-0.0050353503,0.0528823891,0.1966347198
0.0292966137,-0.0538208580,0.1967986572,-0.0057836728,0.0486986809,0.1946933136
0.0292966137,-0.0538208580,0.1967986572,-0.0055548229,0.0480450668,0.1895388947
0.0292966137,-0.0538208580,0.1967986572,-0.0015329238,0.0539300423,0.1915970001
0.0292966137,-0.0538208580,0.1967986572,-0.0073531413,0.0556360283,0.1927792511
0.0292966137,-0.0538208580,0.1967986572,-0.0003479696,0.0544007721,0.1868584747
0.0292966137,-0.0538208580,0.1967986572,0.0003581148,0.0540743065,0.1904739532
0.0292966137,-0.0538208580,0.1967986572,-0.0040028939,0.0546376839,0.1852575226
0.0292966137,-0.0538208580,0.1967986572,-0.0068504243,0.0562594185,0.1940451202
0.0292966137,-0.0538208580,0.1967986572,-0.0070424147,0.0557196274,0.1878787384
0.0292966137,-0.0538208580,0.1967986572,0.0010428908,0.0535383263,0.1881261749
0.0292966137,-0.0538208580,0.1967986572,-0.0029135947,0.0480955658,0.1926890411
0.0292966137,-0.0538208580,0.1967986572,-0.0031984003,0.0555114326,0.1901950226
0.0292966137,-0.0538208580,0.1967986572,-0.0035974844,0.0527931175,0.1991347198
0.0292966137,-0.0538208580,0.1967986572,-0.0061984539,0.0504439430,0.1994085236
0.0292966137,-0.0538208580,0.1967986572,0.0015202287,0.0515080872,0.1907498322
0.0292966137,-0.0538208580,0.1967986572,0.0005021440,0.0494689064,0.1878310089
0.0292966137,-0.0538208580,0.1967986572,-0.0039641926,0.0511008873,0.1978810577
0.0292966137,-0.0538208580,0.1967986572,-0.0027186699,0.0474195862,0.1901365509
0.0292966137,-0.0538208580,0.1967986572,-0.0043502645,0.0475777626,0.1914275665
0.0292966137,-0.0538208580,0.1967986572,-0.0051409197,0.0524913864,0.2004618683
0.0292966137,-0.0538208580,0.1967986572,-0.0075761819,0.0505867577,0.1931875763
0.0292966137,-0.0538208580,0.1967986572,-0.0068477478,0.0552026672,0.1971055450
0.0292966137,-0.0538208580,0.1967986572,-0.0000233873,0.0489390259,0.1875589142
0.0292966137,-0.0538208580,0.1967986572,-0.0035319843,0.0489018745,0.1938367462
