T1,T2,T3,R1,R2,R3
-0.128873,-0.0599017,0,1.50553,1.51419,0
-0.128864,-0.0598962,0,1.50503,1.51423,0
-0.128854,-0.0598906,0,1.50454,1.51426,0
-0.128845,-0.0598858,0,1.50428,1.51383,0
-0.128835,-0.0598809,0,1.50403,1.5134,0
-0.128836,-0.0598623,0,1.50365,1.51307,0
-0.128837,-0.0598436,0,1.50327,1.51274,0
-0.128812,-0.059842,0,1.50305,1.51229,0
-0.128787,-0.0598403,0,1.50283,1.51185,0
-0.128781,-0.0598389,0,1.50297,1.51137,0
-0.128775,-0.0598375,0,1.50311,1.51089,0
-0.128766,-0.059835,0,1.50278,1.51051,0
-0.128756,-0.0598324,0,1.50246,1.51013,0
-0.128758,-0.0598294,0,1.50212,1.50976,0
-0.12876,-0.0598264,0,1.50179,1.50939,0
-0.128751,-0.0598261,0,1.50151,1.50897,0
-0.128742,-0.0598258,0,1.50124,1.50855,0
-0.128742,-0.0598189,0,1.50121,1.50805,0
-0.128742,-0.0598119,0,1.50119,1.50755,0
-0.128734,-0.0598097,0,1.5009,1.50714,0
-0.128726,-0.0598074,0,1.50061,1.50673,0
-0.128694,-0.0598064,0,1.50068,1.50624,0
-0.128661,-0.0598054,0,1.50075,1.50574,0
-0.128647,-0.059801,0,1.50059,1.50527,0
-0.128633,-0.0597967,0,1.50042,1.5048,0
-0.12863,-0.0597967,0,1.50041,1.5043,0
-0.128626,-0.0597966,0,1.50039,1.5038,0
-0.128617,-0.0597963,0,1.50042,1.5033,0
-0.128607,-0.059796,0,1.50044,1.5028,0
-0.128595,-0.0597943,0,1.50032,1.50232,0
-0.128582,-0.0597926,0,1.5002,1.50183,0
-0.12858,-0.059787,0,1.50037,1.50136,0
-0.128578,-0.0597813,0,1.50054,1.50089,0
-0.128569,-0.0597811,0,1.50025,1.50048,0
-0.12856,-0.0597808,0,1.49996,1.50007,0
-0.12856,-0.0597791,0,1.5,1.49958,0
-0.128561,-0.0597773,0,1.50004,1.49908,0
-0.128562,-0.0597711,0,1.49969,1.49872,0
-0.128564,-0.0597649,0,1.49934,1.49837,0
-0.128555,-0.0597595,0,1.4993,1.49787,0
-0.128547,-0.0597542,0,1.49926,1.49737,0
-0.128547,-0.0597483,0,1.49941,1.49689,0
-0.128547,-0.0597423,0,1.49956,1.49641,0
-0.12854,-0.0597401,0,1.49927,1.496,0
-0.128532,-0.0597378,0,1.49898,1.49559,0
-0.128525,-0.0597356,0,1.4987,1.49519,0
-0.128517,-0.0597333,0,1.49841,1.49478,0
-0.128516,-0.0597333,0,1.49811,1.49438,0
-0.128514,-0.0597332,0,1.4978,1.49398,0
-0.128516,-0.0597324,0,1.49793,1.4935,0
-0.128518,-0.0597317,0,1.49806,1.49302,0
-0.128512,-0.0597285,0,1.49777,1.49261,0
-0.128507,-0.0597254,0,1.49747,1.49221,0
-0.128507,-0.0597246,0,1.49707,1.49191,0
-0.128508,-0.0597237,0,1.49667,1.49161,0
-0.128509,-0.0597205,0,1.49642,1.49117,0
-0.128509,-0.0597172,0,1.49617,1.49074,0
-0.128505,-0.0597121,0,1.4959,1.49032,0
-0.128501,-0.0597071,0,1.49562,1.48991,0
-0.128475,-0.059699,0,1.49543,1.48945,0
-0.128449,-0.0596909,0,1.49524,1.48898,0
-0.12844,-0.0596849,0,1.49512,1.4885,0
-0.12843,-0.0596788,0,1.49499,1.48802,0
-0.128421,-0.0596749,0,1.49483,1.48754,0
-0.128412,-0.059671,0,1.49467,1.48707,0
-0.128415,-0.0596631,0,1.49459,1.48657,0
-0.128418,-0.0596552,0,1.49451,1.48608,0
-0.128391,-0.0596491,0,1.4943,1.48563,0
-0.128363,-0.059643,0,1.4941,1.48517,0
-0.128356,-0.0596407,0,1.49381,1.48476,0
-0.128348,-0.0596385,0,1.49353,1.48435,0
-0.12833,-0.0596301,0,1.49354,1.48385,0
-0.128311,-0.0596217,0,1.49356,1.48335,0
-0.128304,-0.0596195,0,1.49327,1.48294,0
-0.128296,-0.0596172,0,1.49299,1.48254,0
-0.128293,-0.0596042,0,1.49278,1.48208,0
-0.128291,-0.0595912,0,1.49257,1.48163,0
-0.128274,-0.0595911,0,1.49224,1.48125,0
-0.128258,-0.059591,0,1.49191,1.48088,0
-0.128274,-0.0595865,0,1.492,1.48039,0
-0.128289,-0.059582,0,1.49209,1.4799,0
-0.128262,-0.0595741,0,1.49225,1.47943,0
-0.128234,-0.0595663,0,1.49241,1.47895,0
-0.128223,-0.0595654,0,1.49209,1.47857,0
-0.128213,-0.0595646,0,1.49177,1.47819,0
-0.128205,-0.0595624,0,1.49148,1.47778,0
-0.128198,-0.0595601,0,1.49119,1.47737,0
-0.12818,-0.0595466,0,1.49071,1.47724,0
-0.128162,-0.059533,0,1.49023,1.47712,0
-0.128146,-0.0595275,0,1.48978,1.47689,0
-0.128129,-0.059522,0,1.48933,1.47667,0
-0.128124,-0.0595121,0,1.48902,1.47628,0
-0.128119,-0.0595021,0,1.48872,1.47588,0
-0.12811,-0.0594961,0,1.48823,1.47579,0
-0.1281,-0.0594902,0,1.48774,1.47569,0
-0.128093,-0.0594822,0,1.48749,1.47525,0
