Time,X_[ref],Y_[ref],Z_[ref],Q0_[ref],Qx_[ref],Qy_[ref],QZ_[ref],X_[tip],Y_[tip],Z_[tip],Q0_[tip],Qx_[tip],Qy_[tip],Qz_[tip]
9.41315,-116.938,-46.2877,-85.7385,0.533125,0.488915,0.525617,0.447736,-53.4726,-50.7488,-89.4463,0.667505,0.0357925,0.743744,0
9.43807,-116.934,-46.2843,-85.7385,0.533144,0.488914,0.525625,0.447704,-51.7898,-53.2577,-90.7098,0.6784,0.0269338,0.734199,0
9.46299,-116.929,-46.2852,-85.7356,0.533135,0.488943,0.525597,0.447717,-51.7898,-53.2577,-90.7098,0.6784,0.0269338,0.734199,0
9.4881,-116.932,-46.2866,-85.7369,0.533143,0.48896,0.525579,0.44771,-51.7898,-53.2577,-90.7098,0.6784,0.0269338,0.734199,0
9.51206,-116.932,-46.2851,-85.7366,0.533162,0.488963,0.525576,0.447685,-51.7898,-53.2577,-90.7098,0.6784,0.0269338,0.734199,0
9.53704,-116.933,-46.2871,-85.7394,0.533186,0.48895,0.52558,0.447667,-51.7898,-53.2577,-90.7098,0.6784,0.0269338,0.734199,0
9.56295,-116.933,-46.2876,-85.7429,0.533198,0.488955,0.525575,0.447653,-51.7898,-53.2577,-90.7098,0.6784,0.0269338,0.734199,0
9.58793,-116.932,-46.2895,-85.7437,0.533214,0.488943,0.525581,0.447642,-51.6319,-49.5224,-88.7061,0.666352,0.0243956,0.745238,0
9.61288,-116.93,-46.2938,-85.7456,0.533237,0.488901,0.525595,0.447644,-51.5256,-49.5289,-88.6864,0.665907,0.024682,0.745627,0
9.63792,-116.928,-46.2968,-85.7469,0.533245,0.488914,0.525591,0.447626,-51.2515,-49.5998,-88.7131,0.665886,0.0259406,0.745602,0
9.66288,-116.932,-46.2973,-85.7434,0.533244,0.488928,0.525584,0.447618,-51.045,-49.5996,-88.7427,0.665208,0.0265749,0.746185,0
9.68787,-116.939,-46.3048,-85.744,0.533218,0.488949,0.525575,0.447636,-50.5657,-50.1152,-89.057,0.666889,0.0276982,0.744642,0
9.7128,-116.939,-46.3072,-85.7466,0.533226,0.488946,0.525584,0.447621,-50.593,-49.6737,-88.7044,0.665092,0.0298305,0.746166,0
9.73781,-116.933,-46.3073,-85.7436,0.533213,0.488973,0.525574,0.447618,-50.4034,-49.6108,-88.686,0.664311,0.0305699,0.746831,0
9.76278,-116.932,-46.3096,-85.746,0.533202,0.488973,0.525564,0.447642,-50.0846,-49.7071,-88.6853,0.664542,0.031285,0.746596,0
