beta1,beta2,beta3,alpha1,alpha2,alpha3,fx,fy,fz,pos_error_norm
-0.118988,-0.070739,0.000000,-1.412573,0.788182,0.000000,0.273171,-0.066868,0.357975,0.020316
-0.090741,-0.057092,0.000000,-0.064427,2.927448,0.000000,0.044640,0.349607,-0.314773,0.043983
-0.073246,-0.034836,0.000000,-0.461907,-0.720138,0.000000,0.203844,-0.355347,0.111348,0.058519
-0.094733,-0.037968,0.000000,-1.354750,0.440515,0.000000,-0.167089,0.088216,0.175238,0.025470
-0.125517,-0.054800,0.000000,-4.561343,-3.184704,0.000000,-0.280238,0.053516,0.326119,0.014458
-0.080778,-0.042729,0.000000,-1.336706,-0.717789,0.000000,-0.057038,-0.270775,-0.017520,0.052557
-0.128347,-0.063745,0.000000,0.094285,-0.008281,0.000000,0.073877,0.164752,-0.156431,0.022590
-0.104595,-0.045254,0.000000,-1.433776,-0.243326,0.000000,-0.268880,0.085453,-0.216613,0.025901
-0.115733,-0.068901,0.000000,5.854219,3.170380,0.000000,0.106022,-0.310777,0.096640,0.021884
-0.133334,-0.064817,0.000000,-0.808776,0.565332,0.000000,-0.350264,-0.235104,0.003037,0.027539
-0.146406,-0.063917,0.000000,3.712357,2.673175,0.000000,0.158707,-0.110545,-0.353749,0.034807
-0.110673,-0.048704,0.000000,-4.730754,-1.619113,0.000000,0.131127,-0.148020,0.420482,0.012604
-0.073517,-0.038631,0.000000,-7.646872,-4.700266,0.000000,-0.047472,0.319222,0.109055,0.038753
-0.154009,-0.071422,0.000000,-0.024538,0.475567,0.000000,0.045387,-0.153485,0.127834,0.043558
-0.104305,-0.045900,0.000000,0.976152,2.087184,0.000000,-0.284426,-0.327332,-0.112825,0.022191
