-0.0881379599,-0.0423337729,-0.0000000146,-1.7741617015,0.0021984225,-0.0000000476
-0.0881753438,-0.0423455907,-0.0000000146,-1.7721879912,0.0029363160,-0.0000000475
-0.0882127278,-0.0423574085,-0.0000000146,-1.7702142809,0.0036742095,-0.0000000475
-0.0882501118,-0.0423692264,-0.0000000146,-1.7682405707,0.0044121030,-0.0000000475
-0.0882874958,-0.0423810442,-0.0000000146,-1.7662668604,0.0051499965,-0.0000000474
-0.0883248798,-0.0423928621,-0.0000000145,-1.7642931501,0.0058878900,-0.0000000474
-0.0883622637,-0.0424046799,-0.0000000145,-1.7623194399,0.0066257834,-0.0000000474
-0.0883996477,-0.0424164977,-0.0000000145,-1.7603457296,0.0073636769,-0.0000000474
-0.0884370317,-0.0424283156,-0.0000000145,-1.7583720193,0.0081015704,-0.0000000473
-0.0884744157,-0.0424401334,-0.0000000145,-1.7563983090,0.0088394639,-0.0000000473
-0.0885117996,-0.0424519512,-0.0000000145,-1.7544245988,0.0095773574,-0.0000000473
-0.0885491836,-0.0424637691,-0.0000000145,-1.7524508885,0.0103152509,-0.0000000472
-0.0885865676,-0.0424755869,-0.0000000145,-1.7504771782,0.0110531444,-0.0000000472
-0.0886239516,-0.0424874048,-0.0000000145,-1.7485034680,0.0117910378,-0.0000000472
-0.0886613356,-0.0424992226,-0.0000000145,-1.7465297577,0.0125289313,-0.0000000471
-0.0886987195,-0.0425110404,-0.0000000144,-1.7445560474,0.0132668248,-0.0000000471
-0.0887361035,-0.0425228583,-0.0000000144,-1.7425823372,0.0140047183,-0.0000000471
-0.0887734875,-0.0425346761,-0.0000000144,-1.7406086269,0.0147426118,-0.0000000470
-0.0888108715,-0.0425464940,-0.0000000144,-1.7386349166,0.0154805053,-0.0000000470
-0.0888482555,-0.0425583118,-0.0000000144,-1.7366612063,0.0162183987,-0.0000000470
-0.0888856394,-0.0425701296,-0.0000000144,-1.7346874961,0.0169562922,-0.0000000469
-0.0889230234,-0.0425819475,-0.0000000144,-1.7327137858,0.0176941857,-0.0000000469
-0.0889604074,-0.0425937653,-0.0000000144,-1.7307400755,0.0184320792,-0.0000000469
-0.0889977914,-0.0426055832,-0.0000000144,-1.7287663653,0.0191699727,-0.0000000468
-0.0890351753,-0.0426174010,-0.0000000144,-1.7267926550,0.0199078662,-0.0000000468
-0.0890725593,-0.0426292188,-0.0000000144,-1.7248189447,0.0206457597,-0.0000000468
-0.0891099433,-0.0426410367,-0.0000000143,-1.7228452345,0.0213836531,-0.0000000467
-0.0891473273,-0.0426528545,-0.0000000143,-1.7208715242,0.0221215466,-0.0000000467
-0.0891847113,-0.0426646723,-0.0000000143,-1.7188978139,0.0228594401,-0.0000000467
-0.0892220952,-0.0426764902,-0.0000000143,-1.7169241036,0.0235973336,-0.0000000467
-0.0892594792,-0.0426883080,-0.0000000143,-1.7149503934,0.0243352271,-0.0000000466
-0.0892968632,-0.0427001259,-0.0000000143,-1.7129766831,0.0250731206,-0.0000000466
-0.0893342472,-0.0427119437,-0.0000000143,-1.7110029728,0.0258110141,-0.0000000466
-0.0893716312,-0.0427237615,-0.0000000143,-1.7090292626,0.0265489075,-0.0000000465
-0.0894090151,-0.0427355794,-0.0000000143,-1.7070555523,0.0272868010,-0.0000000465
-0.0894463991,-0.0427473972,-0.0000000143,-1.7050818420,0.0280246945,-0.0000000465
-0.0894837831,-0.0427592151,-0.0000000142,-1.7031081317,0.0287625880,-0.0000000464
-0.0895211671,-0.0427710329,-0.0000000142,-1.7011344215,0.0295004815,-0.0000000464
-0.0895585511,-0.0427828507,-0.0000000142,-1.6991607112,0.0302383750,-0.0000000464
-0.0895959350,-0.0427946686,-0.0000000142,-1.6971870009,0.0309762685,-0.0000000463
-0.0896333190,-0.0428064864,-0.0000000142,-1.6952132907,0.0317141619,-0.0000000463
-0.0896707030,-0.0428183043,-0.0000000142,-1.6932395804,0.0324520554,-0.0000000463
-0.0897080870,-0.0428301221,-0.0000000142,-1.6912658701,0.0331899489,-0.0000000462
-0.0897454709,-0.0428419399,-0.0000000142,-1.6892921599,0.0339278424,-0.0000000462
-0.0897828549,-0.0428537578,-0.0000000142,-1.6873184496,0.0346657359,-0.0000000462
-0.0898202389,-0.0428655756,-0.0000000142,-1.6853447393,0.0354036294,-0.0000000461
-0.0898576229,-0.0428773934,-0.0000000141,-1.6833710290,0.0361415229,-0.0000000461
-0.0898950069,-0.0428892113,-0.0000000141,-1.6813973188,0.0368794163,-0.0000000461
-0.0899323908,-0.0429010291,-0.0000000141,-1.6794236085,0.0376173098,-0.0000000460
-0.0899697748,-0.0429128470,-0.0000000141,-1.6774498982,0.0383552033,-0.0000000460
-0.0900071588,-0.0429246648,-0.0000000141,-1.6754761880,0.0390930968,-0.0000000460
-0.0900445428,-0.0429364826,-0.0000000141,-1.6735024777,0.0398309903,-0.0000000460
-0.0900819268,-0.0429483005,-0.0000000141,-1.6715287674,0.0405688838,-0.0000000459
-0.0901193107,-0.0429601183,-0.0000000141,-1.6695550572,0.0413067772,-0.0000000459
-0.0901566947,-0.0429719362,-0.0000000141,-1.6675813469,0.0420446707,-0.0000000459
-0.0901940787,-0.0429837540,-0.0000000141,-1.6656076366,0.0427825642,-0.0000000458
-0.0902314627,-0.0429955718,-0.0000000140,-1.6636339263,0.0435204577,-0.0000000458
-0.0902688467,-0.0430073897,-0.0000000140,-1.6616602161,0.0442583512,-0.0000000458
-0.0903062306,-0.0430192075,-0.0000000140,-1.6596865058,0.0449962447,-0.0000000457
-0.0903436146,-0.0430310254,-0.0000000140,-1.6577127955,0.0457341382,-0.0000000457
-0.0903809986,-0.0430428432,-0.0000000140,-1.6557390853,0.0464720316,-0.0000000457
-0.0904183826,-0.0430546610,-0.0000000140,-1.6537653750,0.0472099251,-0.0000000456
-0.0904557665,-0.0430664789,-0.0000000140,-1.6517916647,0.0479478186,-0.0000000456
-0.0904931505,-0.0430782967,-0.0000000140,-1.6498179544,0.0486857121,-0.0000000456
-0.0905305345,-0.0430901145,-0.0000000140,-1.6478442442,0.0494236056,-0.0000000455
-0.0905679185,-0.0431019324,-0.0000000140,-1.6458705339,0.0501614991,-0.0000000455
-0.0906053025,-0.0431137502,-0.0000000139,-1.6438968236,0.0508993926,-0.0000000455
